NODE	LABEL	COLOR	SIZE	SHAPE	SECTOR	URL	MODULE	KD_MODULE	KD_TOP_MODULE	KD_BORDER_COLOR	KD_subnetwork_shown	LABELSIZE
ENSMUSG00000007950_hx	ENSMUSG00000007950_hx	#FFB97F	100	Ellipse	1:FFB97F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FFB97F	red_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000007989_hx	ENSMUSG00000007989_hx	#FF9F7F	100	Ellipse	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	grey60_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000008318_hx	ENSMUSG00000008318_hx	#FFB97F	100	Ellipse	1:FFB97F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FFB97F	red_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000008999_hx	ENSMUSG00000008999_hx	#FFB97F	100	Ellipse	1:FFB97F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FFB97F	red_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000009681_hx	ENSMUSG00000009681_hx	#FFB97F	100	Ellipse	1:FFB97F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FFB97F	red_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000010054_fx	ENSMUSG00000010054_fx	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ENSMUSG00000012017_fx	ENSMUSG00000012017_fx	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ENSMUSG00000012422_hx	ENSMUSG00000012422_hx	#B2D5FF	100	Ellipse	1:B2D5FF	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=B2D5FF	salmon_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000013539_hx	ENSMUSG00000013539_hx	#FFB97F	100	Ellipse	1:FFB97F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FFB97F	red_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000013584_hx	ENSMUSG00000013584_hx	#B2FFFF	100	Ellipse	1:B2FFFF	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=B2FFFF	lightcyan1_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000013997_fx	ENSMUSG00000013997_fx	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ENSMUSG00000014329_hx	ENSMUSG00000014329_hx	#ABFFDC	100	Ellipse	1:ABFFDC	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=ABFFDC	ivory_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000014444_hx	ENSMUSG00000014444_hx	#A4FFB9	100	Ellipse	1:A4FFB9	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=A4FFB9	brown_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000014498_hx	ENSMUSG00000014498_hx	#FF9F7F	100	Ellipse	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	grey60_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000014905_hx	ENSMUSG00000014905_hx	#FF9F7F	100	Ellipse	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	grey60_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000015087_hx	ENSMUSG00000015087_hx	#A4FFB9	100	Ellipse	1:A4FFB9	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=A4FFB9	brown_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000015305_hx	ENSMUSG00000015305_hx	#FFB97F	100	Ellipse	1:FFB97F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FFB97F	red_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000015337_hx	ENSMUSG00000015337_hx	#FF9F7F	100	Ellipse	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	grey60_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000015363_hx	ENSMUSG00000015363_hx	#FFB97F	100	Ellipse	1:FFB97F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FFB97F	red_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000015476_hx	ENSMUSG00000015476_hx	#B2EAFF	100	Ellipse	1:B2EAFF	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=B2EAFF	brown4_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000015522_hx	ENSMUSG00000015522_hx	#B2D5FF	100	Ellipse	1:B2D5FF	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=B2D5FF	salmon_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000015733_hx	ENSMUSG00000015733_hx	#A4FFB9	100	Ellipse	1:A4FFB9	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=A4FFB9	brown_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000015750_hx	ENSMUSG00000015750_hx	#FF9F7F	100	Ellipse	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	grey60_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000015766_hx	ENSMUSG00000015766_hx	#B2D5FF	100	Ellipse	1:B2D5FF	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=B2D5FF	salmon_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000015804_hx	ENSMUSG00000015804_hx	#A4FFB9	100	Ellipse	1:A4FFB9	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=A4FFB9	brown_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
ENSMUSG00000015869_hx	ENSMUSG00000015869_hx	#FFB97F	100	Ellipse	1:FFB97F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FFB97F	red_hx	Not a KD	Not a KD	Not a KD	Not a KD	20
