ID1	ID7	ID13	ID19	ID25	ID31	ID37	ID43	ID49	ID55	ID61	ID67	ID73	ID79	ID85	ID91	ID97	ID103	ID109	ID115
succinate	18.37320513	13.27389122	6.94063183	13.73729986	0.829452963	0.091540265	12.0814465	9.560356211	1.869944864	0.201162733	0.728272905	1.130202506	0.5190653	0.869797494	0.396537469	5.132519831	0.420439973	4.77893248	0.220336731	0.17615432
3-hydroxybutyrate (BHBA)	4.205766841	23.39728842	0.243154662	28.48609895	0.765195865	0.419097897	4.240382262	0.243154662	0.243154662	0.684758779	0.97426834	0.243154662	0.874110973	0.520326939	1	1.503679002	0.243154662	1.80161824	3.025248417	0.243154662
cholesterol	0.715742786	1.230117046	0.829623199	1.034488043	0.63094588	0.422233705	0.715649156	0.002756086	1.146112282	1.488170842	1.44279975	1.068321554	1.562859688	0.982810763	0.951728664	1.017189237	0.328233682	1.225430759	0.633944145	1.075640939
choline phosphate	15.14079805	0.197694434	1.765556129	0.268977496	120.4432309	2.198544192	0.097775151	13.77233134	1.505041932	0.233106904	0.16487383	0.097775151	0.097775151	0.097775151	0.262250072	0.521467817	40.19480546	2.614442562	1	0.472614003
creatinine	1.460158466	0.962360462	1.745030131	1.037639538	0.456212566	0.3097426	19.9253884	5.668316439	3.883756535	6.019673642	0.030861998	0.395272439	0.030861998	0.32152257	0.030861998	0.140907563	26.18182352	82.04872494	0.057778832	0.032377424
cysteinylglycine	1.198151551	0.474041451	3.502523332	0.38333615	2.720046541	0.662715764	1.538591053	0.38333615	2.097269309	1	3.534244972	0.406026777	0.968058328	0.694807938	0.38333615	0.38333615	0.693507986	1.713525659	0.38333615	0.38333615
cystine	0.197057527	1	0.279566456	0.823143322	0.693338626	0.905419939	35.31143046	1.752419437	3.283189995	2.825913377	2.053383196	0.100235849	2.199775958	2.551087324	0.501293967	1.358023552	0.644393255	1.241378651	0.069938519	0.069938519
cytidine 5'-monophosphate (5'-CMP)	0.143384843	0.794795298	1.179924959	1	0.307470488	0.143384843	0.143384843	0.143384843	0.143384843	0.143384843	2.406441265	1.353492585	0.143384843	0.143384843	0.143384843	0.143384843	0.844960049	1.33969759	0.143384843	0.143384843
sphingosine	1.630273694	0.430074505	0.511217474	0.134952004	1.991066575	0.443384242	0.658784091	0.262031846	1.400305371	2.222325861	1.155622129	0.458112809	2.400507609	6.852042863	0.844377871	1.494276399	1.192841939	1.425509743	0.016526175	0.127286536
deoxycholate	10.17884226	0.197658645	0.197658645	0.197658645	5.166543176	1.403716116	0.197658645	0.197658645	0.197658645	0.197658645	0.197658645	0.197658645	0.197658645	0.197658645	1.477721128	0.596283884	0.546795107	0.197658645	0.220024318	0.197658645
desmosterol	0.107986534	0.348258906	0.107986534	0.107986534	0.107986534	0.107986534	1.626747993	0.107986534	0.373252007	3.308274233	1.920861526	3.733828303	5.687004465	4.155713389	0.107986534	0.107986534	0.179508479	0.143617044	0.107986534	0.263438196
cystathionine	1.240815808	0.322740214	10.06219494	0.322740214	0.614643647	0.322740214	8.77460366	0.322740214	3.915502091	0.949054569	1.269898859	0.322740214	0.435429228	0.386824617	1.050945431	0.322740214	0.322740214	0.515135618	0.322740214	0.322740214
sphinganine	9.327260415	0.388122578	0.169527667	0.125109034	6.943091107	2.139407515	0.714958978	0.359984483	0.801525283	1.198474717	0.543963274	0.539514009	2.598649153	3.952661065	1.719956504	1.638927726	3.702758702	3.897104999	0.381388881	0.548287027
fumarate	1.003248827	5.277286268	5.351628291	6.023198848	4.291176174	1.581525333	1.67495253	0.983703496	0.487422172	0.24076443	0.709641014	0.957509324	0.890524686	0.996751173	3.009267342	1.794755646	0.465048051	0.72685783	0.251991811	1.062740916
gluconate	2.645802305	0.132543478	0.132543478	0.132543478	0.159954199	0.132543478	0.132543478	0.132543478	21.80284774	1.174629615	0.132543478	0.132543478	0.132543478	0.132543478	0.132543478	0.132543478	0.132543478	0.825370385	0.132543478	0.132543478
glutarate (C5-DC)	1.04555654	0.961129095	1.506479841	0.898173024	1.639830764	1.038870905	0.271127877	0.132555132	0.109010172	0.109010172	7.619989637	1.196720025	2.427775594	0.837072471	5.965253842	2.414654016	0.683623437	0.799985739	0.262221469	0.109010172
glycine	0.229890779	0.696429178	0.465059744	0.691265572	1.038388192	0.427350019	1.136743547	0.961611808	7.558785182	3.573097328	1.075881198	1.116090602	1.612718829	1.534034199	0.481342595	1.092538719	1.170508232	0.91361448	0.224899729	0.270326086
glycocholate	1.334963126	2.272411299	0.032901677	0.268470217	0.975042979	1.024957021	0.452674698	2.297476651	18.46192344	5.025636012	9.2016328	0.171599823	0.266228044	0.821710365	0.032901677	0.244411892	5.472475546	81.35765953	0.032901677	0.22759828
guanidinoacetate	0.20532984	4.541502891	3.364370302	4.391675342	0.147448141	0.065216204	1.357268916	1.335649209	5.551552669	2.319912473	2.661401947	0.760711915	2.327982812	0.168128689	0.150235553	0.301486105	0.160992814	1.239288085	0.160276121	0.049337808
2'-deoxyguanosine	1.4178397	0.938094673	3.792342961	0.754957107	0.160569541	0.847182991	2.806124098	0.014662255	0.170457126	0.091248525	2.00313437	2.416062514	0.290963353	6.044189058	1.061905327	2.998508266	2.772248234	0.089832475	0.025818725	2.58929661
histamine	0.087341936	1.636814627	1.269821501	1.075071717	0.178209529	0.087341936	1.96020848	0.924928283	1.582638609	4.019401365	0.087341936	0.087341936	0.087341936	0.220392296	0.128533015	0.087341936	0.087341936	0.758862085	0.087341936	0.087341936
histidine	0.312381836	0.302852802	0.360511498	0.225409034	0.935256016	0.347420362	3.928510173	4.206230243	6.84301985	8.288131117	1.175944904	1.259909146	1.557303531	1.064743984	0.440585643	0.629591606	1.629681836	1.167058573	0.169206002	0.17888898
hypotaurine	1.09258207	0.845621007	0.90741793	0.815968995	0.170850508	0.170850508	0.304228729	1.641150871	1.175727916	1.205629547	0.515586356	0.170850508	0.170850508	0.170850508	1.458992002	1.565851576	0.170850508	0.170850508	0.170850508	0.170850508
inosine	5.217772782	0.239432254	0.99353492	0.120482688	0.993277135	1.00646508	3.209716322	0.12655544	1.113807316	0.128671135	1.067824413	0.681319521	0.023480113	0.039631512	4.551093737	1.023134471	2.904871212	1.677703936	0.032810565	1.19730967
myo-inositol	2.881190237	1.005404981	6.857780535	0.959640904	6.580119223	0.501354811	7.722477735	10.43803524	0.643082266	0.387272624	0.578767978	0.379100976	0.555718371	0.615358561	0.407412953	1	6.728274898	3.206890282	2.535057508	0.379100976
isoleucine	0.449172601	1.111529453	0.990786679	0.938936447	1.041505421	0.706946795	1.009213321	1.137816458	2.481890621	2.000432387	1.507326377	0.918743869	1.316052184	0.872734821	0.554352632	1.336792463	0.799237411	1.130504135	0.686088026	0.557554155
3-sulfo-alanine	0.729926464	2.367004004	2.558631876	1.780970576	2.018174657	0.928672227	0.585763599	1.05127052	0.714115133	1	1.446870144	1.098543236	0.552078455	0.345045545	9.26693174	3.040272682	0.131217299	0.131217299	0.417499155	0.205001442
citrulline	0.838543746	1.920313882	2.55077466	1.574457739	2.443563065	0.773315525	0.747776948	1.840969673	0.968544774	1.011929469	1.141852244	1.251350429	2.504632858	0.988070531	0.715918579	2.164997552	0.711994804	0.336951099	0.634061237	0.467402209
saccharopine	0.213503186	0.213503186	1.42103332	0.226590695	0.309138848	0.213503186	0.213503186	0.213503186	0.213503186	0.720632058	0.73874123	0.213503186	0.213503186	0.213503186	2.582128807	1.061411831	1.251028052	6.020745806	1	0.213503186
lanosterol	0.536431968	1.282117825	0.390144204	1.078355517	0.633525819	0.967137314	0.893665743	0.23521904	1.112492502	2.045605968	0.726390235	0.830581852	1.283285065	0.83930895	1.249476493	1.398491963	0.424359602	1.9036764	2.645788201	1.032862686
leucine	0.554616623	1.065726274	0.934273726	0.916089208	0.89019369	0.650658657	1.743498746	0.859269955	2.598089453	2.370527479	1.240472992	0.917514507	1.503017407	1.212579466	0.59606322	1.309888029	1.080855947	1.268090807	0.51662505	0.490576549
lithocholate	30.44569787	0.129114307	0.109379489	0.097818285	30.44126782	16.91915974	0.267812114	0.08622602	0.08622602	0.08622602	0.795158954	0.08622602	0.678685237	0.08622602	27.49899526	7.698000095	1	0.08622602	30.45163728	6.905120432
lysine	1.242087411	1.025347237	1.471008155	0.972427908	1.135935286	0.96145134	2.224032545	0.268394883	0.447022499	1.38271554	0.827054264	0.705954817	1.867573405	1.067609899	1.01068261	1.299221344	0.98931739	0.540196994	0.445092286	0.813942662
malate	4.55866173	1.475747693	1.959128102	1.217680068	3.530079672	0.600472777	4.265699943	0.65107645	0.208343236	0.125633463	1.588238141	1.207679944	0.672994347	0.792320056	1.621937028	2.177556072	0.335508975	0.276588524	0.493758667	0.208256543
methionine	1.034273863	0.466079544	0.712286321	0.4416942	1.29858448	0.734487897	2.968465129	0.965726137	0.515111041	0.36189578	1.482317837	1.484216478	2.236245502	1.667756623	0.695477407	1.494047101	1.688674906	1.964621257	0.618894343	0.849796553
methylmalonate (MMA)	0.128194189	0.128194189	0.128194189	0.128194189	3.538744692	0.128194189	0.128194189	0.128194189	0.494761641	0.597537295	0.524317174	0.638210386	1.459349505	1.294212633	1	6.339065354	0.442898983	0.128194189	2.325952359	2.254879825
palmitate (16:0)	0.808111651	0.759646151	0.853006554	0.664169653	1.48522315	1.066037047	1.629500787	3.386845211	0.933962953	1.144656804	0.560311288	0.632610331	1.07170311	0.867410877	1.388890389	1.662364714	2.705450478	6.204703249	0.574188236	0.509678859
nicotinamide	2.424505212	0.626991044	1.037053888	0.450833567	0.523911288	1.033252624	1.286118348	0.206254732	4.281746706	5.920426263	2.976577942	1.092739791	0.684867927	0.686738539	3.177074959	0.450940982	0.966747376	1.452335029	0.773425107	0.669875352
pelargonate (9:0)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
stearate (18:0)	1.148812952	0.807462102	0.982748969	0.616141178	1.423697807	0.955884011	0.847367183	9.102869188	2.667190365	2.197839327	0.637872808	0.96561245	1.017251031	0.878042598	1.263579137	1.739997143	2.589161994	21.18016475	0.881093675	0.566156488
ornithine	3.913094168	0.909736351	0.598196207	0.599900915	1.090263649	1.214440665	9.335195425	1.221451444	3.392548416	2.418123143	0.837151461	0.602813047	11.725879	1.314287828	1.157469251	0.528411235	0.761422434	0.50261318	0.156073038	0.28812382
orotate	1.8807001	0.733963902	1.301667452	0.253554919	1.2888849	0.111078493	40.69613631	11.25741557	0.031187918	0.059987732	2.089633441	2.681530059	2.05736989	0.211425427	0.611735557	0.170785443	0.062622221	12.93267691	1.266036098	0.129585316
