,ID2,ID8,ID14,ID20,ID26,ID32,ID38,ID44,ID50,ID56,ID62,ID68,ID74,ID80,ID86,ID92,ID98,ID104,ID110,ID116
ENSMUSG00000108152,3.33220451,2.397895273,1.945910149,0,2.079441542,0,1.609437912,0,0,1.791759469,0,1.945910149,2.63905733,0,3.135494216,0,0,3.33220451,3.784189634,2.708050201
ENSMUSG00000108168,0,0,0,0,2.708050201,0,0,0,0,0,0,1.945910149,0,0,0,0,0,0,2.944438979,0
ENSMUSG00000108169,0,0,0,0,0,0,1.386294361,0,0,1.386294361,0,0,0,0,0,1.945910149,0,1.098612289,1.098612289,0
ENSMUSG00000108173,0,0,0,0,0,0.693147181,2.302585093,0,0,0,3.258096538,0,0,0,0,0,0,0,2.397895273,0
ENSMUSG00000108175,0,0,0,0,1.791759469,0,0,0,0,2.890371758,0,0,3.610917913,0,1.945910149,0,0,0,0,0
ENSMUSG00000108181,0,0,0,2.944438979,0.693147181,2.944438979,0,0,0,0,0,0,3.784189634,0,0,4.043051268,3.17805383,2.48490665,0.693147181,0
ENSMUSG00000108189,0,2.397895273,0,0,0,0,0,0,0,0,0,0,0,0,1.386294361,0,0,0,0,0
ENSMUSG00000108194,0,0,0,0,0,0,1.791759469,0,0,0,0,0,0,3.218875825,0,0,0,0,0,0
ENSMUSG00000108195,0,0,1.609437912,0,0,0,0,0,0,0,2.302585093,0,0,0,0,0,0,1.791759469,0,0
ENSMUSG00000108197,0.693147181,0,0,0,0,2.197224577,0,0,0,0,0,0,3.295836866,0,0,0,0,0,0,0
ENSMUSG00000108200,0,0,2.197224577,0,2.302585093,0,0,0,0,0,0,0,0,0,1.945910149,0,0,0,0,2.197224577
ENSMUSG00000108207,3.401197382,0,2.079441542,0,1.945910149,1.609437912,0.693147181,0,0,0,0,3.091042453,0,3.33220451,1.609437912,0,0,0,2.197224577,2.772588722
ENSMUSG00000108211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386294361,3.17805383,0,0,0,0
ENSMUSG00000108216,3.091042453,2.63905733,3.401197382,3.555348061,2.079441542,3.135494216,3.465735903,2.48490665,3.988984047,0,2.564949357,3.784189634,0,2.302585093,3.36729583,0,2.564949357,2.63905733,2.397895273,1.791759469
ENSMUSG00000108217,0,0,0,0,1.945910149,0,0,2.079441542,0,0,0,0,0,0,1.098612289,0,0,0,1.791759469,1.945910149
ENSMUSG00000108220,1.386294361,0,0,0,1.098612289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000108228,0,0,1.098612289,0,0,0,0,0.693147181,0,0,0,0,0,0,1.386294361,0,3.496507561,0,1.386294361,0
ENSMUSG00000108231,0,0,0.693147181,1.098612289,0,0,0,0,0,2.708050201,0,1.098612289,0,0.693147181,0,0.693147181,0,0,0,0
ENSMUSG00000108246,2.63905733,2.48490665,1.098612289,2.944438979,2.63905733,0,2.772588722,2.302585093,0,2.772588722,2.995732274,3.044522438,2.772588722,2.833213344,2.833213344,0,0,0,0,2.197224577
ENSMUSG00000108255,0,0,0,1.945910149,1.609437912,0,0,0,3.295836866,3.401197382,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000108256,2.944438979,0,2.995732274,0,0,0,0,0,0,0,3.931825633,0,0,0,0,0,3.688879454,0,1.098612289,0
ENSMUSG00000108260,0,2.995732274,2.302585093,0,2.63905733,3.044522438,2.197224577,0,0,0,4.077537444,3.044522438,0,0,1.386294361,0,0,0,2.63905733,2.302585093
ENSMUSG00000108264,4.394449155,4.564348191,3.663561646,3.36729583,4.990432587,4.382026635,4.997212274,3.401197382,2.708050201,3.970291914,2.944438979,4.143134726,4.564348191,3.401197382,4.418840608,3.433987204,4.454347296,4.406719247,4.672828834,4.727387819
ENSMUSG00000108267,0,1.609437912,0,3.17805383,2.995732274,0,0,0,0,0,0,3.295836866,0,0,2.772588722,0,0,0,3.135494216,0
ENSMUSG00000108268,0,0,2.772588722,0,0,0,0.693147181,2.944438979,0,0,0,0,0,0,1.098612289,0,0,0,0,0
ENSMUSG00000108286,0,0,0,0,0,0,0,0,0,1.791759469,0,2.397895273,0,2.197224577,1.791759469,0,0,0,2.63905733,1.791759469
ENSMUSG00000108291,3.218875825,3.17805383,2.302585093,3.044522438,1.609437912,3.17805383,2.995732274,2.944438979,1.098612289,3.401197382,3.891820298,0.693147181,0,2.772588722,2.890371758,0.693147181,0,2.079441542,1.098612289,2.944438979
