,ID2,ID8,ID14,ID20,ID26,ID32,ID38,ID44,ID50,ID56,ID62,ID68,ID74,ID80,ID86,ID92,ID98,ID104,ID110,ID116
ENSMUSG00000047945,3.713572067,3.433987204,2.397895273,4.276666119,3.044522438,1.945910149,3.496507561,3.688879454,3.951243719,3.135494216,3.33220451,3.295836866,3.044522438,3.258096538,2.890371758,3.761200116,3.258096538,3.713572067,3.737669618,3.218875825
ENSMUSG00000047953,0,0,1.609437912,0,1.609437912,0,0,0,0,0,1.386294361,0,0,0,0,0,0,0,0,1.609437912
ENSMUSG00000047959,0,0,0,0,0,0,2.197224577,0,0,0,1.791759469,0,1.386294361,0,0,0,0,0,0,0
ENSMUSG00000047963,0,0,0,1.386294361,0,0,0,0,2.302585093,0,0,0,2.079441542,0,0,0,0,0,0,0.693147181
ENSMUSG00000047976,4.394449155,5.572154032,5.198497031,5.480638923,5.934894196,5.587248658,5.420534999,5.424950017,5.924255797,5.18178355,5.587248658,5.18178355,5.693732139,5.429345629,5.198497031,5.252273428,5.313205979,5.308267697,5.723585102,5.501258211
ENSMUSG00000047986,0,2.708050201,0.693147181,0,1.386294361,0,0,2.397895273,0,0,0,0,0.693147181,2.944438979,0,2.48490665,0,0,0,0.693147181
ENSMUSG00000047989,3.295836866,4.442651256,3.465735903,3.80666249,4.33073334,4.077537444,3.36729583,3.526360525,4.189654742,2.890371758,3.555348061,2.708050201,3.784189634,4.290459441,3.713572067,4.060443011,3.433987204,3.218875825,4.304065093,3.496507561
ENSMUSG00000047992,0,2.302585093,0,0.693147181,0,0,0,0.693147181,0,0.693147181,0,1.386294361,0,0,0,0,0,0,1.791759469,0
ENSMUSG00000047996,1.791759469,2.772588722,3.218875825,0,3.80666249,3.218875825,2.890371758,2.079441542,2.397895273,0,1.945910149,2.397895273,1.945910149,1.609437912,1.945910149,3.433987204,1.945910149,2.564949357,0,1.386294361
ENSMUSG00000048000,4.624972813,4.465908119,4.844187086,5.298317367,5.645446898,5.176149733,5.209486153,4.753590191,5.135798437,4.844187086,5.509388337,5.129898715,5.278114659,5.198497031,5.192956851,5.379897354,5.488937726,5.252273428,5.062595033,5.298317367
ENSMUSG00000048001,4.762173935,3.970291914,4.418840608,4.718498871,3.688879454,4.356708827,3.401197382,4.077537444,4.043051268,3.555348061,3.951243719,3.555348061,4.624972813,3.912023005,3.091042453,3.912023005,3.761200116,4.49980967,4.143134726,4.094344562
ENSMUSG00000048004,1.098612289,2.833213344,0,2.302585093,3.63758616,0,1.945910149,2.302585093,2.890371758,0,1.945910149,2.48490665,1.791759469,0,1.945910149,3.17805383,2.833213344,0,0,1.945910149
ENSMUSG00000048007,0,0,0,2.079441542,0,0,0,0,0,1.609437912,0,0,1.791759469,0,0,0,0,2.833213344,1.098612289,1.098612289
ENSMUSG00000048015,0,0,0,0,0,0,0,1.098612289,0,0,0,0,0,0,0.693147181,0,0,0,0,1.098612289
ENSMUSG00000048022,4.234106505,4.317488114,4.007333185,4.290459441,4.615120517,3.663561646,4.127134385,4.605170186,4.276666119,4.025351691,4.077537444,3.433987204,4.025351691,4.394449155,3.583518938,4.465908119,4.234106505,4.804021045,4.304065093,3.713572067
ENSMUSG00000048027,0,2.397895273,0,0,1.609437912,0,0,0.693147181,0,1.386294361,0.693147181,2.564949357,1.386294361,1.386294361,0,0,0,2.197224577,0,0
ENSMUSG00000048029,0,0,0,0,0,0,0,1.098612289,1.098612289,0,1.791759469,0,0.693147181,3.135494216,2.079441542,0,0,0,3.555348061,0
ENSMUSG00000048039,0,2.197224577,2.564949357,1.791759469,0,2.772588722,2.63905733,2.079441542,1.386294361,1.945910149,0,2.197224577,1.945910149,0,0.693147181,2.48490665,1.609437912,3.044522438,2.397895273,1.386294361
ENSMUSG00000048040,4.158883083,4.290459441,3.36729583,4.510859507,3.891820298,3.951243719,4.094344562,4.510859507,3.80666249,3.295836866,3.970291914,4.33073334,4.248495242,3.912023005,2.63905733,4.204692619,2.48490665,3.496507561,3.988984047,3.17805383
ENSMUSG00000048047,3.63758616,2.772588722,2.302585093,3.218875825,2.833213344,3.737669618,2.708050201,2.564949357,1.945910149,0,3.044522438,3.496507561,2.397895273,2.564949357,1.609437912,3.33220451,2.397895273,2.564949357,2.995732274,2.397895273
ENSMUSG00000048058,2.833213344,3.135494216,1.609437912,3.295836866,2.397895273,0,1.386294361,2.197224577,2.48490665,1.791759469,0,2.079441542,2.772588722,2.079441542,1.386294361,1.791759469,0,3.33220451,2.48490665,1.386294361
ENSMUSG00000048070,0,0,0,0,0,0,0,0,1.945910149,0.693147181,0,0,0,0,1.609437912,0,0,0,0,0
ENSMUSG00000048076,5.843544417,6.042632834,5.823045895,5.855071922,5.533389489,6.086774727,5.641907071,5.541263545,6.040254711,5.117993812,5.860786223,5.433722004,5.583496309,5.505331536,4.890349128,5.840641657,5.192956851,5.641907071,5.749392986,5.837730447
ENSMUSG00000048078,5.424950017,5.673323267,5.92157842,6.29156914,6.163314804,6.021023349,5.991464547,5.786897381,6.12249281,5.855071922,6.251903883,5.783825182,5.942799375,5.713732806,5.736572297,5.598421959,5.905361848,5.97126184,6.013715156,5.758901774
ENSMUSG00000048096,1.098612289,0,0,2.197224577,1.945910149,0,2.833213344,1.386294361,0,0.693147181,1.609437912,0,0,0,1.609437912,0.693147181,0,3.135494216,2.772588722,0.693147181
ENSMUSG00000048100,2.708050201,3.496507561,2.397895273,3.295836866,2.890371758,3.912023005,2.833213344,3.36729583,3.526360525,3.891820298,3.713572067,2.944438979,3.17805383,0.693147181,1.791759469,1.386294361,2.079441542,3.850147602,2.833213344,2.079441542
ENSMUSG00000048106,3.526360525,4.59511985,2.197224577,3.36729583,3.135494216,3.465735903,3.135494216,2.197224577,4.143134726,3.135494216,3.218875825,2.48490665,3.295836866,4.262679877,3.610917913,3.970291914,3.784189634,3.17805383,3.091042453,3.912023005
ENSMUSG00000048108,0,1.386294361,0,0,1.945910149,0,0,2.890371758,0,0.693147181,2.397895273,0,0,0,1.945910149,0,2.197224577,0,1.609437912,1.609437912
ENSMUSG00000048109,1.098612289,3.091042453,0,3.784189634,3.401197382,3.663561646,4.110873864,1.386294361,2.302585093,2.708050201,2.079441542,3.526360525,2.302585093,3.784189634,2.197224577,3.526360525,1.386294361,2.995732274,2.397895273,3.465735903
